from_id,from_name,message,created_time,type,link,id,story,likes_count,comments_count,shares_count
196172860421072,심상정,"존경하는 국민여러분, 2017년 새해가 밝았습니다. 건강하시고 복 많이 받으시기 바랍니다. 올해는 국민여러분 한 분 한 분 모두 그리고 대한민국 사회가 변화와 희망의 한해가 되기를 바랍니다.
 
국민들께서는 천만 촛불을 만들어 2017년 새해를 열었습니다. 기필코 낡은 대한민국을 끝내고 새로운 대한민국을 열겠다는 다짐으로 시작했습니다. 이제 정치가 촛불민심을 받아 안는 한해가 되어야 합니다. 가만히 있지 않겠다는 우리 국민의 분노 그리고 한 줌 부패세력에 나의 삶을 희생시키지 않겠다는 절규를 우리 정의당은 가슴 깊이 새길 것입니다.
 
정치, 재벌, 검찰, 언론, 사회 등 도처에 꽈리 틀고 있는 부패와 기득권 카르텔을 과감히 청산해서 새로운 대한민국 시작하겠습니다. 만인이 평등한 법치를 세우고 열심히 일한 만큼 대접받는 정의로운 사회를 열어나갈 것입니다.
 
2017년 대선은 촛불민심의 승리여야 합니다. 국민주권의 힘찬 선언이 되어야 합니다. 정의당은 반드시 정권교체를 이루겠습니다. 정의당은 시대교체를 이끌어내는 과감한 개혁정부를 수립할 것입니다. 반공주의에 뿌리를 둔 극우 정치세력을 역사에서 영원히 퇴출시키는 선거로 만들 것입니다.
 
정의당은 촛불민심을 닮은 정당입니다. 정의당이라야 온 몸을 던져 촛불을 대변할 수 있습니다. 정의당이 이번 대선을 대한민국의 방향을 돌리는 ‘중대선거’로 만들어내겠습니다. 정의당의 승리가 곧 국민의 승리가 될 수 있도록 최선을 다할 것입니다.
 
정의, 자유와 평등이라는 정의당의 꿈은 곧 국민들의 꿈입니다. 국민들의 정치·사회·경제적 권리를 확대하는 것은 시민들의 희망입니다. 청년들이 다시 희망을 품고 노동자들의 삶이 더 윤택해지고 어르신과 아이들이 행복한 정의로운 사회를 향해 달려가겠습니다. 열심히 뛰겠습니다.",2017-01-01T07:17:35+0000,photo,https://www.facebook.com/simsangjung/photos/a.202318379806520.46097.196172860421072/1311916422180038/?type=3,196172860421072_1311924075512606,심상정 added 3 new photos.,1219,45,30
196172860421072,심상정,"유구한 역사를 자랑하던 전경련이 해체 수순에 들어갔습니다. 민간경제단체 자율에 맡겨야 합니다, 또 싱크탱크로 쇄신하겠다는 허황된 목소리를 단호히 물리치고 촛불은 전경련을 무너뜨리고 있습니다. 무너뜨려야 할 것은 전경련만이 아니라 정경유착으로 연명해온 재벌체제입니다. 되찾아야 할 것은 헌법에 보장된 우리 국민들의 노동권, 생존권, 행복추구권입니다.

모든 국민들이 대한민국의 근본적 변화를 바라고 있습니다. 부패하고 탐욕스런 재벌 해체, 정경유착 근절이 출발점입니다. 정경유착과 노동억압, 국민 희생 위에 세워지는 박정희경제 모델을 이제는 끝내야 합니다. 모든 경제주체들의 삶과 노동이 존중되는 정의로운 경제를 만들어나가겠습니다. 국민의 노동조합인 정의당이 그 선두에 서겠습니다.",2017-01-02T08:00:01+0000,link,http://www.newsis.com/pict_detail/view.html/?pict_id=NISI20170102_0012545465,196172860421072_1312692295435784,NA,1234,16,71
196172860421072,심상정,"박근혜 대통령이 새해 첫날부터 국민들에게 찬물을 끼얹었습니다. 국민들 열불 나게 하는 데는 타의추종을 불허하는 분입니다.

변명과 궤변만 늘어놓은 기자간담회 내용에 대해서는 언급할 가치도 없습니다. 짐작보다도 대통령의 상태가 훨씬 더 나쁘다는 점은 분명해 보입니다. 국민들은 더 이상 대통령에게서 어떤 말도 듣고 싶지 않습니다. 국민들과 기자들 괴롭히지 말고, 하실 말씀이 있으면 특검 수사관들 앞에서 하십시오.

이번 기자간담회를 열기 위해, 대통령은 홍보수석 등에 업무를 지시했고, 또 국가 예산을 사용했습니다. 직무정지 된 박근혜 대통령은 어떤 경우에도 청와대의 공식조직을 지휘하거나, 조력을 받아서는 안 됩니다. 명백한 헌법과 법률의 위반이고 탄핵사유 추가입니다. 이미 탄핵됐다고 이판사판으로 나오겠다는 것인지 기가 막힙니다.

헌법과 법률을 명백히 위반한 이번 기자간담회 개최를 사전에 양해한 것인지 황교안 권한대행은 밝혀야 합니다. 만약 박근혜 대통령이 일방적으로 진행한 것이라면 황교안 대행은 기자간담회 개최 경위에 대해 철저히 조사해, 관계자를 엄중히 문책해야 할 것입니다. 또 관련사항을 국회에 보고해야 할 것입니다.",2017-01-02T03:50:49+0000,link,http://www.minsim.or.kr/?p=6636,196172860421072_1312646635440350,NA,4033,119,554
196172860421072,심상정,"[의원실] 설악산 케이블카 무산 소식 들으셨죠? 매해 국정감사마다 (산양) 똥 얘기하며 흥분했던 기억이 납니다.^^ 활활 타오르는 촛불의 힘에, 작지만 의미있는 승리의 경험들이 쌓여갑니다. 이제 시작입니다. 작은 당이다? 계란으로 바위치기? 계속 치면 깨집니다. 2017년에도 심상정의 '계란으로 바위깨기' 는 계속됩니다!

(Youtube 링크 : https://youtu.be/mLnv-Q6P7QM)",2017-01-03T21:30:00+0000,video,https://www.facebook.com/simsangjung/videos/1313519558686391/,196172860421072_1313519558686391,NA,3415,123,297
196172860421072,심상정,"[의원실] 반나절을 함께한 SBS '방언니'팀과의 만남!  별명이 계속 늘어나서 끝내는 '심별명'이 되겠다는 포부, 그리고 전격적인 슈퍼우먼직 사퇴 선언까지! 퇴근길의 잔망스런 재미, 놓치지 않을고에요. #방언니_화이팅 #숏터뷰_원해요 #우균이같은_꼬맹인잘모르겠고",2017-01-03T09:33:27+0000,video,https://www.facebook.com/sbsunnieya/videos/353114601729509/,196172860421072_1313635755341438,심상정 shared 방송국에 사는 언니들 - 방언니's video.,1378,54,0
196172860421072,심상정,"[의원실] 잘 하는 것 부터 잘 하겠습니다. 정의당과 함께하는 세무사, 변호사, 노무사 등 전문가 분들이 날 것 그대로의 민생을 기다립니다. 노동 상담은 #비상구, 중소상공인 상담은 #민생사이다 로 전화주세요.

모든 민원 말씀을 '다 해결해 드리겠다' 주제넘게 큰소리 치지는 않습니다. 하지만 한가지 분명히 약속드리자면, 저희 정의당, 한 번 물면 놓지 않습니다. 끝까지 갑니다. #국민의_노동조합이_되겠습니다",2017-01-04T07:54:17+0000,photo,https://www.facebook.com/simsangjung/photos/a.202318379806520.46097.196172860421072/1314394015265612/?type=3,196172860421072_1314392998599047,심상정 added 2 new photos.,393,18,25
196172860421072,심상정,"[의원실] 잠시 후 8시반에 등장합니다.^^ 신촌에서 노정렬, 최요한님과 수다 한판 떱니다. 토크쇼 장소가 호프집이라니 신촌 근처에 계시는 분들은 잠깐 들려서 한잔 하고 가시는 것도?! 그나저나 이건 비밀인데, 심블리는 실제로 보면 더 블리합니다.

미안합니다.",2017-01-05T11:05:19+0000,video,https://www.facebook.com/rohandchoi/videos/227185581070061/,196172860421072_1315254918512855,"심상정 shared 노정렬, 최요한의 국정濃담's live video.",303,12,0
196172860421072,심상정,"한화 김승연 회장의 아들 김동선 씨가 또 술집난동을 부리다 체포됐습니다. 금수저들이 하루가 멀다 하고 사고를 치는 이유는 법이 권력자들에게는 솜방망이, 서민들에게는 쇠방망이를 들이밀어왔기 때문입니다. 경찰은 구속영장을 청구한 김에 일벌백계 해야합니다. '그들이 사는 세상'에도 법치가 통한다는 것을 보여줘야 할 것입니다.",2017-01-05T08:52:39+0000,link,http://www.newsis.com/view/?id=NISX20170105_0014622379&cID=10201&pID=10200,196172860421072_1315181718520175,NA,3744,176,275
196172860421072,심상정,"오늘 삼성의 ‘무노조 경영전략’ 폐기와 노사관계의 전면적인 개혁을 촉구하는 역전의 용사들을 모셨습니다. 삼성이라는 골리앗을 거꾸러트린 에버랜드 조장희 부지회장님, 에버랜드 노조 박원우 지회장님, 또 삼성그룹 개혁을 위해서 늘 애쓰시는 조돈문 삼성지킴이 상임대표님, 그리고 이번 사건을 대리했던 민변 사무총장 강문대 변호사님 까지.
 
작년 12월 29일 대법원에서 열린 삼성 에버랜드 부당해고 및 부당노동행위 상고심에서 원고 조장희씨가 최종 승소했습니다. 제가 폭로한 ‘2012년 S그룹 노사전략’ 문건을 부당노동행위의 증거로 인정했습니다. 삼성의 불법적 노조파괴를 대법원이 공식적으로 확인한 것입니다.
 
이번 대법원의 판결은 삼성그룹이 무려 78년간 견지해 온 ‘무노조 경영전략’에 조종을 울린 역사적 사건이라 생각합니다. 1938년 삼성상회 설립 이후, 삼성은 이병철, 이건희, 이재용 회장까지 3대에 걸쳐 무노조 경영 체제를 유지해왔습니다. 그러면서 온갖 불법, 탈법을 저질렀습니다. 수많은 노동자들이 노조를 만들다가 불이익을 당하거나 해고됐습니다. 그때마다 노동위원회와 법원은 삼성의 불법성을 입증할 증거가 부족하다며 늘 삼성의 손을 들어 주었습니다.
 
삼성그룹의 ‘무노조 경영전략’은 노동3권을 보장하는 우리 헌법 제33조를 정면으로 부정하는 발상입니다. 유독 삼성만 헌법 위에서 갖은 불법과 탈법을 저질러왔던 것입니다. 삼성 앞에만 서면 작아지는 공권력도 삼성의 치외법권을 방치해왔습니다. 그렇게 대한민국은 민주공화국이 아니라, 삼성공화국으로 전락해왔습니다.
 
삼성은 대한민국을 대표하는 국민기업이고 글로벌 기업입니다. 삼성은 대내외적 위상에 걸맞게 행동할 때 미래로 나아갈 수 있습니다. 헌법 위에 군림해온 삼성공화국의 성벽을 스스로 허물기 바랍니다. 이제 ‘노조 없는 삼성’ 아니라 ‘노조 있는 삼성’으로 경영 패러다임을 전환해 준법경영, 사회적 책임을 다하기 바랍니다.

그 출발은 복직 승소자인 조장희씨를 조건 없이 원직 복직시키는 일입니다. 이참에 삼성그룹 전반의 노사관계 개혁에 나서야 합니다. 삼성이 그동안 만들어온 ‘알박기 노조’, 이 회사노조는 즉각 해산시켜야 합니다. 정의당은 삼성의 모든 ‘알박기 노조’의 진상을 조사해서 해산조치를 취할 것을 고용노동부에 강력히 촉구합니다.
 
촛불은 이제 광장을 넘어서 노동과 삶의 현장인 일터로 들어가야 합니다. 광장에서 확인한 집회의 권리에 더해서 노동조합 등 결사의 권리를 제한 없이 행사할 수 있어야 합니다. 나서야 합니다. 노동을 억압하고 배제하는 일상을 바꿔야 합니다.",2017-01-05T07:49:24+0000,link,http://www.newsis.com/view/?id=NISI20170105_0012554166,196172860421072_1315150708523276,NA,623,7,39
196172860421072,심상정,"어제 개혁보수신당도 선거연령을 하향조정하는 데 함께하기로 입장을 밝혔습니다. 환영합니다. 이로써 ‘18세 선거권 시대’가 눈앞으로 다가왔습니다. 선거연령 18세 인하는 2002년 민주노동당의 대선공약으로 처음 공론화 됐습니다. 십 수 년 동안 진보정당이 외롭게 외쳤던 ‘선거연령 인하’가 정치권에서도 거스를 수 없는 대세가 된 것에 감회가 남다릅니다.

OECD 국가 가운데 우리나라의 선거연령이 가장 높습니다. 촛불광장에서 우리 청소년들은 충분히 시민적 능력을 증명했습니다. 오스트리아 사례처럼 16세까지 낮춰도 충분해 보입니다. 교실이 정치판이 된다는 반론은 시대착오적입니다. 청소년의 삶을 헬로 만든 정치와 기성세대가 할 소리가 아닙니다. 청소년도 시민입니다. 가만히 있지 않을 권리가 있습니다. 선거연령 18세 하향은 마지노선입니다. 우리 민주주의를 더 강하고 활기차게 만들 것입니다. 더 따져보거나 미룰 이유가 없습니다. 새누리당의 동참여부와 관계없이 늦어도 2월 임시국회에서는 반드시 처리해야 합니다.

정치개혁이 어려운 것은 두 가지 이유 때문입니다. 첫째는 정치개혁이 개혁대상의 손에 맡겨져 있기 때문이고, 둘째는 대부분의 정치개혁이 정치경쟁의 규칙을 바꾸는 것이기 때문입니다. 그래서 기존제도와 규칙에서 가장 큰 이득을 보는 기득권 세력이 자신에게 불리한 개혁을 완강히 거부합니다.

그래서 선거연령 하향 하나로 정치개혁의 문이 닫혀서는 안 됩니다. 선거연령 18세 하향 가시화는 지금이 정치개혁의 적기라는 점을 반증하고 있습니다. 십 수 년째 모든 정치개혁을 막아섰던 새누리당이 깨졌습니다. 수구세력이 막무가내로 막아설 힘도 없을뿐더러, 정치적 생존을 위해서라도 개혁에 올라타야 할 시점이기 때문입니다.

자신에게 유리한 규칙 변화는 찬성하고, 불리한 변화는 거부하는 것이 기득권 정치입니다. 2등 할 때는 찬성했던 개혁을 1등이 되면 모른 체 합니다. 결국 새누리당이 선거연령 인하에 반대하는 것도, 지난 총선 전 새누리당과 민주당 일부 의원들이 비례대표제 확대를 끝내 거부한 것도 개혁이라는 대의보다 정치적 이해를 앞세웠기 때문입니다.

2017년 1월, 2월 정치개혁의 공간이 열렸습니다. 지금 의지만 있다면 그동안 미뤄져왔던 정치개혁 다 할 수 있습니다. 할 수 있는 데도 실천하지 않는 공약은 거짓입니다. 참정권 확대와 함께, 민심을 더 정확히 반영하는 선거제도 개혁도 이참에 이뤄야 합니다. 대통령 결선투표제 도입과 비례대표제 확대는 촛불이 꺼져도 민심을 거역하지 않는 정치를 만드는 일입니다. 지금 못하면 다음에도 못합니다. 야당들과 주요 대선후보들이 정치개혁에 대한 사명을 갖고 적극적으로 나서주실 것을 다시 한 번 강력히 촉구합니다.",2017-01-05T01:19:29+0000,link,http://www.minsim.or.kr/?p=6647,196172860421072_1314973071874373,NA,1974,51,130
